Mock tests,Main page links,Grade,sector,Online/Offline format,Main foreign language,Year of the test,Number of the test,Branch,Regestration links
OTK ,https://otk.az/,9,Rus,Online ,English,2026,1,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=390&group=0&id_yazilish=4134
OTK ,https://otk.az/,9,Rus,Online ,German,2026,1,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=390&group=0&id_yazilish=4135
OTK ,https://otk.az/,9,Rus,Online ,French,2026,1,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=390&group=0&id_yazilish=4136
OTK ,https://otk.az/,9,Rus,Online ,English,2026,2,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=406&group=0&id_yazilish=4185
OTK ,https://otk.az/,9,Rus,Online ,German,2026,2,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=406&group=0&id_yazilish=4186
OTK ,https://otk.az/,9,Rus,Online ,French,2026,2,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=406&group=0&id_yazilish=4187
OTK ,https://otk.az/,9,Rus,Online ,English,2026,3,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=422&group=0&id_yazilish=4236
OTK ,https://otk.az/,9,Rus,Online ,German,2026,3,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=422&group=0&id_yazilish=4237
OTK ,https://otk.az/,9,Rus,Online ,French,2026,3,x,https://otk.az/?menu=coursejoin&lang=rus&id_category=2&id_course=422&group=0&id_yazilish=4238
OTK/MQM,https://mqm.az/az,9,Rus,Offline,all,2026,all,x,https://kabinet.mqm.az/personal/exams
Guvan,GÜVƏN NƏŞRLƏRİ,9,Rus/Aze,Offline,all,2026,all,"Baku, Hatai",https://e-bilet.tusi.edu.az/index.php?menu=onlineSALE&opt=participant
Guvan,GÜVƏN NƏŞRLƏRİ,9,Rus/Aze,Offline,all,2026,all,"Baku, Narimanov",https://e-bilet.zeka.edu.az/index.php?menu=onlineSALE&opt=participant
Guvan,GÜVƏN NƏŞRLƏRİ,9,Rus/Aze,Offline,all,2026,all,"Baku, Binagadi",https://e-bilet.ulduz.edu.az/index.php?menu=onlineSALE&opt=participant
Guvan,GÜVƏN NƏŞRLƏRİ,9,Rus/Aze,Offline,all,2026,all,"Baku, Sabuncu",https://e-bilet.bhm.edu.az/index.php?menu=onlineSALE&opt=participant
